account_name,url,caption,caption_length,likes,comments,post_date,day_of_week,hour_of_day,is_night_post,is_special_date,media_type,num_hashtags,num_mentions,num_emojis,has_question,has_call_to_action,followers,followees,engagement_ratio,comment_like_ratio,caption_sentiment,num_exclamations,hashtag_ratio,topic,readability,num_positive_words,num_negative_words
3inaspain,https://www.instagram.com/3inaspain/reel/DJbtAv4i-9n/,"Tus imprescindibles de maquillaje on-the-go ✈️

Perfectos para ocupar menos espacio en en tu maleta manteniendo la misma fórmula y calidad 💗 ¿Qué Mini no puede faltar en tu neceser? 🫶🏻

#3inaspain #3ina #3INAMinis #3INAMini #makeup #maquillaje",243,2354,113,2025-05-09T12:30:00.000Z,Friday,12,False,False,reel,6,0,2,True,False,318000,1377,0.0078,0.048,neutro,0,0.1622,otro,22.87,1,1
3inaspain,https://www.instagram.com/3inaspain/reel/DJZLvqeinti/,"Estaba deseando enseñarlos 💅🏽

¿Tienes ya nuevo Mini Kit favorito? 🫶🏻

🛒Disponibles en 3INA.COMB

#3inaspain #3ina #3INAMini #minis #makuep #maquillaje",151,506,11,2025-05-08T13:00:00.000Z,Thursday,13,False,False,reel,6,0,4,True,False,318000,1377,0.0016,0.0217,neutro,0,0.3,promoción,17.45,0,0
3inaspain,https://www.instagram.com/3inaspain/reel/DJWnStYCgsG/,"Los Mini Kits te salvan en cualquier momento 💅🏽

#3INA #3INASpain #3INAMini #3INAMinis #makeup #maquillaje",106,396,35,2025-05-07T13:14:31.000Z,Wednesday,13,False,False,reel,6,0,2,False,False,318000,1377,0.0014,0.0884,neutro,0,0.4,otro,17.38,0,0
3inaspain,https://www.instagram.com/3inaspain/reel/DJRkzpBCoi7/,"Los mejores compañeros de viaje 🤏🥹

¿Qué más añadirías a la lista de pros? 🧐💗✨

#3INA #3INASpain #3INAMinis #makeup #maquillaje",127,243,11,2025-05-05T14:07:09.000Z,Monday,14,False,False,reel,5,0,1,True,False,318000,1377,0.0008,0.0453,neutro,0,0.25,otro,56.7,0,0
3inaspain,https://www.instagram.com/3inaspain/reel/DJOxs43Cxwf/,"Ellas sí que saben 🔥  y obviamente siempre tienen la razón 💗

#3INA #3INASpain #diadelamadre #mothersday",104,142,7,2025-05-04T12:00:00.000Z,Sunday,12,False,False,reel,4,0,2,False,False,318000,1377,0.0005,0.0493,neutro,0,0.25,otro,23.43,0,0
3inaspain,https://www.instagram.com/3inaspain/reel/DJJu_Kniik7/,"La etapa de pasar el rato maquillándote con tu madre, recomiendo no saltársela 💅🏽

Ahora sus favs al -20% 🔥

#3INA #3INASpain #Mothersday #diadelamadre",151,235,23,2025-05-02T13:00:00.000Z,Friday,13,False,False,reel,4,0,3,False,False,318000,1377,0.0008,0.0979,neutro,0,0.1667,otro,34.53,0,0
3inaspain,https://www.instagram.com/3inaspain/reel/DJB_5PxCJ2i/,"¿Qué generación eres según tu forma fav de aplicar el blush? 💗 

Ahora al -20% por el Día de la Madre 🫶🏻✨

#3inaspain #3ina #diadelamadre #mothersday",149,345,18,2025-04-29T13:00:32.000Z,Tuesday,13,False,False,reel,4,0,2,True,False,318000,1377,0.0011,0.0522,neutro,0,0.1538,otro,64.23,0,0
3inaspain,https://www.instagram.com/3inaspain/reel/DI_I5gUCwPN/,"El culto al 254 nunca termina.

#3INA #3INASpain #3INA254",57,292,16,2025-04-28T10:17:22.000Z,Monday,10,False,False,reel,3,0,0,False,False,318000,1377,0.001,0.0548,neutro,0,0.3333,otro,33.07,0,0
3inaspain,https://www.instagram.com/3inaspain/reel/DI3anXoi0I8/,"Hoy es 25/4, día no oficial del 254, nuestro rosa vintage, pero el regalo os lo lleváis tú y tu amiga.

¿Cómo? 🧐Cumpliendo el mismo día que el tono que está generando cada día más devotos.

👉 Mándanos una foto que acredite que tu amiga está hoy de cumple 🙌 (no vale una foto con una tarta 😅)  y os llevaréis las dos el mejor lip combo del momento ❤️‍🔥

Sorteo nacional. Podrás participar hasta el 26 de abril a las 23:59. El  de 28 abril contactaremos con lxs ganadorxs🧡

🚨 El/la ganadox serán contactadxs ÚNICA Y EXCLUSIVAMENTE desde la cuenta @3inaspain (nunca deis vuestros datos a otras cuentas, y menos aún vuestros datos bancarios) 💥

Bases legales: https://es.3ina.com/pages/bases-legales-sorteo-3ina-spain

Muchísima suerte a todxs🌈

#3INA #3INASpain #3INA254",767,621,88,2025-04-25T10:17:29.000Z,Friday,10,False,False,reel,3,1,7,True,False,318000,1377,0.0022,0.1417,neutro,0,0.0238,otro,42.01,0,0
3inaspain,https://www.instagram.com/3inaspain/reel/DI1bhvACZe2/,"Y tú, ¿qué harías? 🧐

#3INA #3INASpain #3INA254 #makeup #maquillaje",67,428,33,2025-04-24T15:48:18.000Z,Thursday,15,False,False,reel,5,0,0,True,False,318000,1377,0.0014,0.0771,neutro,0,0.5,otro,42.47,0,0
